version,case,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,10,0.4733887712837619,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,11,0.5299860095184208,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,12,0.609866605376753,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,13,0.6809342138387514,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,14,0.6898739697279076,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,15,0.6224014785054826,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,16,0.5199893976228416,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,17,0.4362636505954503,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,18,0.4059785787710677,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,19,0.4352930690733809,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,20,0.4921370253352422,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,21,0.5296791968225945,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,22,0.5310172709935131,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,23,0.5092844296241847,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,24,0.4819640918584442,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,25,0.4728616961493055,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,26,0.5101563730852958,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,27,0.5956724887354305,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,28,0.69101335895477,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,29,0.7378141960482361,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,30,0.6929420018462931,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,31,0.5693784150063851,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,32,0.4418986545493707,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,33,0.3885123447053985,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,34,0.434071224733222,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,35,0.5510654020666809,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,36,0.6772811023507961,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,37,0.7338020642583816,0
